TransactionType,IsFraud,Year,Month,Day,hour,un_amount,standardised_amount,per_100k,FraudCount
0,0,2024,06,12,09,1,-1.19844252093861,6.0,1
1,0,2023,11,26,07,1,1.177494797653924,9.0,3
1,0,2023,11,30,06,0,0.06922228711908585,8.0,1
1,0,2024,04,01,20,1,1.3273752761083917,8.0,2
1,0,2024,04,19,17,1,-0.48578403614620724,1.0,3
0,0,2024,06,18,00,1,-0.8417909027503677,8.0,2
0,0,2024,07,25,02,1,-0.4744627529547486,6.0,2
1,0,2024,09,01,16,0,-0.2717681071074264,9.0,1
1,0,2024,03,15,23,1,-1.6058631267637489,6.0,1
0,0,2023,12,31,10,1,-1.6834551668609965,6.0,3
0,0,2024,04,06,18,1,1.1115221516956137,2.0,1
1,0,2023,12,30,20,1,0.5198412490777083,9.0,2
0,0,2024,05,05,21,1,0.5862229309872102,8.0,1
0,0,2023,11,15,22,1,-1.300985754058552,6.0,1
0,0,2024,01,04,07,1,0.6451726376479407,2.0,1
1,0,2024,05,27,06,1,1.7034318371336774,4.0,1
0,0,2024,07,14,22,1,-0.6982816791966663,8.0,1
0,0,2024,02,24,05,1,-1.6858816513172186,8.0,1
1,0,2024,07,20,08,0,-0.40029552234714,8.0,2
1,0,2024,04,17,20,0,-0.21305411607958588,3.0,1
1,0,2024,07,21,08,1,0.8003913819060965,8.0,1
0,1,2024,09,07,18,1,-0.5499749492323774,9.0,2
0,1,2024,04,27,01,1,1.213940594186379,9.0,3
1,0,2024,09,03,22,1,-0.5480060304164714,6.0,2
0,0,2024,09,30,05,0,-0.03614260078280568,1.0,2
0,0,2024,09,30,05,0,0.311052660838903,6.0,2
0,0,2024,08,12,21,1,1.715328543781898,2.0,2
0,0,2024,10,20,20,1,1.2304545541141525,4.0,4
0,0,2024,05,20,16,1,1.2084775377535133,8.0,1
1,0,2024,03,07,02,1,-1.327122458058429,2.0,1
0,0,2024,06,27,22,1,-1.7042328066189887,3.0,1
1,0,2024,10,20,16,1,-0.5868020504650954,2.0,1
0,0,2024,04,26,22,1,-1.0604656819450948,8.0,2
0,1,2023,11,05,01,1,-0.5932911631823062,9.0,1
1,0,2023,11,07,09,1,-1.4486685308769551,3.0,2
0,0,2024,03,01,22,0,0.32111217211312604,9.0,1
1,0,2023,11,06,08,1,0.437749813517352,8.0,1
1,0,2024,04,24,08,0,0.0625321228326451,4.0,1
1,0,2024,02,18,02,1,1.3185151414368148,3.0,2
0,0,2024,03,20,05,1,0.6022723924619359,8.0,1
1,0,2024,02,18,01,0,0.2725963486141501,3.0,2
0,0,2024,03,15,05,1,1.20151006095779,6.0,1
1,0,2024,01,15,21,1,-0.8767738757963569,1.0,1
1,0,2024,07,31,14,1,0.8525538649021375,4.0,2
1,0,2024,10,06,08,1,1.1288264522748428,6.0,2
0,0,2024,04,04,16,1,0.6997962691638641,1.0,1
0,0,2023,12,27,07,1,-1.0485065799822864,8.0,1
0,0,2024,10,15,05,1,1.4172522603668543,6.0,4
0,0,2024,08,09,22,1,-0.9863539138393428,6.0,1
0,0,2024,08,08,20,1,0.56061312075497,6.0,2
0,0,2024,02,05,00,1,-1.266245429458185,2.0,2
0,0,2024,01,25,20,1,-0.7487733543242803,4.0,1
1,0,2023,12,22,02,1,0.8339461955292806,1.0,4
0,0,2024,01,03,19,1,-1.4967337215483472,9.0,1
1,0,2024,10,04,23,0,0.3966035699525586,1.0,2
1,0,2024,07,28,00,1,-0.47639007489426205,9.0,1
0,0,2023,11,10,13,1,1.2001650952877694,9.0,3
0,0,2024,05,19,07,1,-1.0402773312693279,2.0,1
0,0,2024,07,28,22,1,-1.0521879035430117,3.0,3
1,0,2024,06,12,11,1,1.2572984050127,3.0,1
1,0,2024,06,28,20,1,-0.4548012960466184,4.0,3
1,0,2024,07,18,02,1,-1.0619701023079524,9.0,1
1,0,2023,12,05,08,1,-0.8372984400999911,1.0,1
1,0,2024,02,20,21,1,-0.9153827099012151,3.0,1
1,0,2024,04,29,06,1,0.697452978460427,3.0,3
1,0,2024,07,23,19,1,1.340034592157138,6.0,1
1,0,2024,06,26,09,1,-1.3391994178376827,8.0,1
1,0,2024,09,09,19,1,-1.2424936130381374,8.0,1
0,0,2023,12,18,07,1,-0.6602898654249617,2.0,2
1,0,2024,02,04,18,1,-1.2235947655305341,8.0,1
0,0,2023,12,08,04,0,0.3591109186975626,3.0,1
1,0,2024,09,18,02,1,-0.8249649662496511,6.0,2
0,0,2024,06,02,21,1,-0.45948787745349284,8.0,1
1,0,2024,05,28,02,0,-0.02963962244013063,9.0,2
0,0,2024,01,08,17,1,0.7046215068253798,1.0,1
1,0,2024,06,12,20,1,-1.228863703206902,1.0,1
0,0,2024,09,07,06,1,-1.0623236757572876,8.0,1
0,0,2024,01,04,14,0,-0.25738945350112813,9.0,1
1,0,2024,08,19,20,1,-0.5241571546181754,6.0,1
0,0,2024,03,17,20,0,0.2809850520199461,8.0,2
1,0,2024,09,01,03,1,1.2221629100866054,8.0,1
1,0,2023,11,27,18,0,0.27076608605288555,3.0,1
0,0,2024,04,14,08,1,-1.2177573372101373,2.0,2
1,0,2024,05,08,17,0,-0.26054388329421657,6.0,1
0,0,2024,06,27,17,1,0.9429646757409692,2.0,1
0,0,2024,08,14,10,1,-0.5571642760355265,9.0,1
0,0,2024,05,05,07,0,0.19866483363943171,8.0,1
1,0,2024,03,10,16,0,0.19982261336568627,2.0,1
0,0,2024,09,06,03,1,1.51224566042158,8.0,1
1,0,2024,09,01,16,1,-1.3701821579372715,8.0,5
0,0,2024,05,11,03,1,1.550882225777366,6.0,2
0,0,2024,02,16,11,1,0.5588175222573656,2.0,1
0,0,2023,11,01,22,1,1.7210758455367778,1.0,2
0,0,2024,08,11,05,0,0.006112892819117391,2.0,3
0,0,2024,07,03,21,1,1.6746398658574204,9.0,3
1,0,2023,12,28,19,1,-1.2253418343390141,8.0,3
1,0,2024,09,02,07,0,-0.25420035964437926,2.0,1
0,0,2024,04,07,05,1,-1.0874204578473552,3.0,1
0,0,2024,05,03,05,0,0.3503894402806276,6.0,1
1,0,2024,08,10,02,1,-0.6972764213505173,8.0,2
0,1,2024,06,16,18,1,-1.5362507541211057,6.0,1
1,0,2024,05,07,06,0,0.31765269855982686,8.0,1
0,0,2024,05,03,08,1,-1.6743385181183337,4.0,1
0,0,2023,10,23,08,1,0.9632015561058608,3.0,2
0,0,2024,06,20,03,0,0.011257039866308091,4.0,2
0,0,2024,08,04,20,1,1.40090468794465,2.0,4
1,0,2023,11,21,22,1,0.7793710937024818,8.0,1
0,0,2024,06,18,01,1,1.3349944373009286,6.0,1
1,0,2024,10,16,12,1,0.5134491957387461,4.0,3
0,0,2024,04,12,06,1,-0.6432559445422833,9.0,1
0,0,2024,08,14,16,1,-1.5352524290876886,8.0,1
1,0,2024,01,08,15,1,-0.7000980761324668,6.0,2
0,0,2023,12,28,10,0,0.028131506056149218,2.0,2
0,0,2024,03,08,07,1,-0.869279505232997,8.0,1
0,0,2024,07,08,00,1,-1.6500043454287932,1.0,1
1,0,2024,06,21,12,1,-0.6832028115044295,1.0,1
0,0,2024,02,25,23,1,-1.3330014832552184,3.0,1
0,0,2024,01,23,08,0,-0.15749455484483413,6.0,2
0,0,2024,10,17,07,1,-0.5170926184442032,8.0,1
0,0,2024,08,18,20,1,-1.1973124724632838,1.0,1
0,0,2024,05,18,05,1,1.0324256912355088,1.0,1
1,0,2024,09,09,06,1,-0.5607970699071275,8.0,2
0,0,2024,08,11,14,0,0.19275807719171417,6.0,1
0,0,2024,09,14,03,1,1.46485988539793,9.0,2
0,0,2024,07,30,10,1,1.2340873479857533,8.0,3
1,0,2024,10,02,21,1,0.7566522663795118,9.0,2
1,0,2023,10,22,00,0,-0.08794457751677963,1.0,1
1,0,2024,08,13,17,0,0.1686804185732598,2.0,1
1,0,2024,07,13,11,1,1.4964665786434048,6.0,3
0,0,2023,11,10,23,1,-0.75404922481338,9.0,3
1,0,2024,07,30,07,0,0.4204524457508549,3.0,1
1,0,2023,12,24,04,0,0.17910736892228232,4.0,1
0,0,2023,11,09,14,1,-1.1596395680772542,6.0,3
0,0,2024,08,10,20,0,-0.145556251320222,8.0,2
0,0,2024,08,29,06,1,-1.1942204379847838,2.0,4
1,0,2024,09,18,05,0,-0.11566889563229889,8.0,1
1,0,2024,04,19,15,1,1.203499778211892,6.0,1
1,0,2024,10,10,20,1,-0.5340294799486328,1.0,3
1,0,2024,05,06,21,1,0.4365643025401692,6.0,2
0,1,2023,10,29,04,0,0.3816980225786234,1.0,3
0,0,2024,07,25,02,1,-1.153656550689484,6.0,1
1,0,2023,12,01,01,1,-1.5588031939385059,3.0,1
1,0,2024,05,15,02,1,-0.5951768882454274,9.0,4
0,0,2024,05,26,01,1,-0.7307133771572565,6.0,1
0,0,2024,07,15,12,1,1.4860465611071145,4.0,2
1,0,2024,09,15,15,0,-0.019039351772806527,2.0,1
0,0,2024,08,17,22,1,-0.4518340521972955,4.0,3
1,0,2023,12,24,06,1,-0.5870654973489138,2.0,2
1,0,2023,10,24,22,1,-1.0385025312099196,2.0,4
1,0,2024,07,20,01,1,1.150942124890123,6.0,2
1,0,2024,08,31,11,1,0.7430431549864723,8.0,2
1,0,2024,09,04,01,1,1.547630736606029,3.0,1
0,0,2024,05,07,23,1,0.7624550306362483,2.0,2
0,0,2024,02,29,05,0,-0.33315123103711114,3.0,2
0,0,2023,11,16,04,0,-0.30645990201866896,1.0,1
1,0,2024,05,23,19,1,1.1974197014458732,6.0,2
1,0,2024,08,27,19,0,0.3410024118414145,8.0,2
1,0,2023,12,30,13,1,-1.1666139776857094,6.0,1
0,0,2024,09,04,07,1,0.9030524728424835,8.0,1
0,0,2024,06,10,01,0,0.1609156683133492,8.0,1
0,0,2023,12,12,23,1,1.5177295152926416,1.0,2
0,0,2023,11,01,14,0,-0.4132321509051694,6.0,1
0,0,2024,02,18,21,1,-1.6173854615244372,6.0,1
0,0,2024,04,13,18,1,0.6363748982909532,1.0,1
0,0,2024,05,11,00,1,1.0812812225583557,9.0,2
0,0,2023,11,08,21,1,1.5325657345392558,6.0,1
1,0,2024,04,06,04,0,-0.2806490402171989,4.0,2
0,0,2024,04,28,21,1,-0.631532558212365,9.0,2
0,0,2023,11,15,08,0,-0.22793193220259284,8.0,2
1,0,2024,05,19,01,1,-0.5401650192165084,2.0,2
0,0,2024,09,10,09,1,1.533515529883549,6.0,1
1,0,2023,12,12,15,1,-0.7203002924336981,4.0,1
0,0,2023,12,22,17,1,1.5326003986029164,3.0,3
1,0,2024,09,06,21,1,-0.45195884282647253,6.0,2
0,0,2024,07,04,04,0,-0.26041215985230765,8.0,2
0,0,2024,09,30,13,1,-0.6488368587915939,1.0,1
1,0,2024,07,27,16,1,0.6502474565678108,6.0,1
0,0,2024,09,07,07,1,0.8822332362080986,6.0,2
1,0,2024,09,22,21,0,0.38112259912186225,9.0,3
0,0,2024,05,11,12,1,-0.9347321902364026,9.0,1
0,0,2023,11,10,14,0,-0.25951089419713935,2.0,1
0,0,2024,05,22,22,1,-1.444432582297665,4.0,1
0,0,2024,06,13,04,1,1.430140359235759,1.0,1
1,0,2023,11,12,05,1,0.6722314057411822,6.0,1
1,0,2024,08,31,13,1,-0.6468263430992958,2.0,3
0,0,2023,10,27,15,1,1.0919438885402684,3.0,1
1,0,2023,11,05,18,1,-0.8244658037329428,2.0,1
0,0,2023,12,25,04,1,1.4044958849398588,2.0,1
0,0,2024,06,14,22,1,1.2027094375604366,8.0,2
1,0,2024,02,18,06,1,0.534275365185863,8.0,1
1,0,2024,03,06,21,1,-1.4863760993266453,4.0,1
0,0,2023,11,03,21,1,-1.1655948542140961,6.0,2
0,0,2023,12,06,06,1,0.7470919176219971,1.0,1
0,0,2024,03,23,08,1,1.35281176602233,2.0,1
1,0,2024,10,16,06,1,0.6295114136862109,6.0,1
1,0,2024,01,26,05,0,-0.11308295648323943,6.0,1
0,0,2024,08,07,10,0,0.22697150802444438,6.0,3
0,0,2024,05,27,14,1,-1.252809638383447,6.0,1
1,0,2024,06,26,01,1,-0.8987924890333886,8.0,1
0,0,2024,05,22,06,1,0.6322429419026437,4.0,2
0,0,2024,09,21,10,1,-1.005245828534214,6.0,3
0,0,2024,05,18,08,1,-0.8287086851249651,6.0,1
0,0,2024,09,26,15,1,-1.4727461894954097,1.0,1
1,0,2024,07,08,01,1,-1.2655174841213184,6.0,2
1,0,2024,09,12,11,1,-0.9567577362861663,1.0,2
0,0,2024,10,06,13,1,-0.7966166949882462,4.0,1
0,0,2024,05,24,15,1,1.1876236370554683,6.0,2
0,0,2023,12,26,09,1,-0.4913164207063934,4.0,1
1,0,2024,03,07,02,1,1.551977610189032,4.0,1
1,0,2024,09,20,18,1,0.7895137987294899,6.0,2
0,0,2024,06,12,15,1,-0.8629498472086237,4.0,4
1,0,2024,10,20,17,0,0.2051816776075709,3.0,1
1,0,2023,12,04,05,1,-1.33848533812628,9.0,2
0,0,2024,07,18,01,0,-0.4106184805051817,6.0,2
1,0,2024,01,02,18,0,-0.21068309412522065,2.0,2
1,0,2024,02,27,10,0,0.2974158181949353,6.0,4
0,0,2024,05,12,11,1,1.3285885183365025,6.0,1
0,0,2023,12,04,04,0,-0.052039540377425725,6.0,2
1,0,2024,05,19,08,0,-0.014858865695372791,8.0,2
0,0,2024,03,05,10,1,1.2930578530846804,8.0,2
0,0,2023,12,07,01,0,0.12659824528963798,8.0,2
1,0,2024,07,24,17,1,-1.5661589082472247,6.0,4
0,1,2024,06,05,05,1,-0.7552901982924193,6.0,1
1,0,2023,12,25,22,1,-0.7694331362658275,1.0,1
1,0,2023,12,27,20,1,1.2183013333948465,8.0,1
0,0,2023,11,11,09,0,0.017101400999437293,6.0,2
0,0,2024,01,15,03,0,-0.1389700792247623,1.0,1
1,0,2024,06,14,18,1,-0.8319809727344988,3.0,1
0,0,2024,10,13,20,1,-0.6297508253402249,8.0,1
1,0,2024,09,18,09,1,1.2958656422411658,1.0,1
1,0,2024,04,10,07,0,-0.15426386411169293,8.0,1
1,0,2024,10,08,18,0,0.33614251011623825,8.0,1
0,0,2024,10,14,16,1,-1.099393425435628,6.0,1
1,0,2024,06,02,01,1,1.451701406832475,1.0,1
0,0,2023,11,02,05,1,-1.0428632704183873,3.0,1
0,0,2024,02,16,11,0,0.2996343182691953,3.0,2
1,0,2024,02,01,14,0,-0.16844146614876138,8.0,2
1,0,2024,04,17,20,1,0.5732516383655206,2.0,1
1,0,2024,06,26,00,0,0.3034958949609544,4.0,1
0,0,2024,03,12,15,1,1.2212963084950974,9.0,2
1,0,2024,07,10,19,1,1.1362653603363466,6.0,1
1,0,2024,03,06,14,1,1.2133513051041533,2.0,2
1,0,2024,04,29,21,0,-0.023393158168542146,9.0,1
1,0,2024,03,03,08,1,-0.4575744211394435,3.0,1
0,0,2023,12,30,08,1,-1.3017136993954186,8.0,1
1,0,2024,08,22,22,1,-1.3038906025932862,8.0,3
1,0,2024,02,19,09,1,1.5688451435661415,6.0,1
1,0,2024,06,09,09,0,0.3097423592325429,6.0,1
1,0,2023,12,17,01,1,-0.45894711806039196,8.0,1
1,0,2023,12,05,18,1,-0.7313442631158741,6.0,1
1,0,2024,05,12,09,0,0.352746596609529,4.0,2
1,0,2024,02,17,22,1,-1.5510869733677202,4.0,2
1,0,2024,06,28,10,1,0.8169677371484587,9.0,1
1,0,2024,01,18,06,1,1.6198221155849997,6.0,1
1,0,2024,07,01,15,1,1.4161430103297246,3.0,2
0,0,2024,09,02,00,1,1.1526891936986032,8.0,1
1,0,2024,08,30,13,1,-0.9464971734427133,6.0,1
1,0,2024,02,24,04,1,1.1478916872880156,1.0,1
0,0,2024,01,29,21,1,-1.3841032459032538,4.0,3
0,0,2024,01,25,03,1,1.3888762578545213,8.0,1
1,0,2024,06,18,23,0,0.0044074208870299,4.0,2
0,0,2024,03,27,11,1,0.5241673242225153,8.0,3
0,0,2024,01,31,12,1,-1.485793743057152,4.0,1
0,0,2023,10,22,20,1,1.5609694683025177,6.0,1
1,0,2024,07,22,04,1,-1.207593833744933,6.0,1
1,0,2024,05,12,19,1,1.5058744055208138,8.0,4
1,0,2024,06,02,14,0,-0.39147005173922395,9.0,1
0,0,2024,09,29,11,1,1.0689408158952836,6.0,1
1,0,2024,08,13,22,0,-0.4254962966281886,6.0,1
1,0,2024,02,08,13,0,0.24624472741957928,9.0,3
1,0,2023,12,28,20,1,-1.671724847718346,2.0,1
0,0,2023,11,23,04,1,0.9755766268325933,6.0,2
1,0,2024,08,02,22,0,0.11321098390402462,1.0,2
1,0,2024,04,24,13,1,1.4776023951994617,8.0,3
0,0,2024,09,11,03,1,-0.5295647485491843,6.0,2
0,0,2023,11,07,21,0,0.08400997667657589,6.0,1
0,0,2024,02,13,21,1,-1.2759375016576089,6.0,2
0,0,2024,09,19,03,0,-0.3422124172779173,3.0,1
1,0,2024,10,14,23,1,-0.8227949958645155,1.0,1
0,0,2023,11,01,17,1,1.1845731994533601,1.0,1
0,0,2024,02,12,21,1,-1.4942309761520725,1.0,2
1,0,2024,05,10,14,1,1.6185118139786394,9.0,1
0,0,2024,09,06,21,1,-1.5269261209964808,4.0,1
1,1,2024,02,03,16,1,-1.02727830739671,6.0,2
1,0,2024,06,23,13,1,-1.7176824633191907,6.0,2
0,0,2024,05,21,02,1,1.7214640830497732,8.0,1
1,0,2024,05,16,11,0,0.14936560230173257,6.0,1
1,0,2024,04,27,14,1,1.391753375138327,6.0,1
0,1,2024,03,26,07,1,0.6938756470906824,8.0,3
1,0,2024,09,12,13,1,-1.6376986028293816,1.0,1
1,0,2023,10,29,02,1,0.7809656406308564,1.0,2
1,0,2024,07,18,00,1,-1.1677024292846434,8.0,1
0,0,2024,04,09,23,1,1.526229143702151,6.0,1
0,0,2024,02,27,07,1,0.848754683524967,9.0,2
1,0,2024,06,02,16,1,1.4133005571095785,3.0,1
1,0,2024,01,21,05,0,-0.13903940735208284,8.0,3
1,0,2024,04,06,19,1,-0.5419467520886485,4.0,1
0,0,2024,02,28,14,1,-1.562228003428145,8.0,1
0,0,2023,11,01,19,1,-1.0809660091938047,9.0,1
1,0,2024,04,10,08,1,-0.792200493277922,8.0,1
0,0,2024,10,07,01,0,0.25645676057390787,6.0,1
1,0,2024,08,03,08,0,0.000594373884395321,2.0,1
0,0,2024,09,21,15,1,0.7068330740869079,4.0,1
0,0,2024,07,15,03,1,0.9281769861834792,8.0,3
1,0,2024,01,04,18,1,-1.0858397765444447,9.0,1
0,0,2024,03,11,23,1,-0.9610976770564377,1.0,1
1,0,2024,08,31,04,0,-0.1491890451918228,4.0,2
0,0,2024,02,29,21,0,0.3246479066064781,6.0,2
0,0,2023,11,21,20,1,1.3158182772840428,6.0,1
1,0,2023,12,07,17,1,-1.0722583964023338,3.0,1
1,0,2024,02,28,07,1,1.4220012370883175,6.0,2
0,0,2024,01,31,09,1,-0.8587624283184576,4.0,1
1,0,2024,06,01,04,1,1.5073094977563513,6.0,2
0,0,2024,06,21,14,1,0.714334377463,6.0,2
1,0,2024,04,26,10,1,-1.1021942817793813,9.0,1
0,0,2024,09,15,00,1,-1.36251446705561,1.0,1
0,0,2024,07,21,14,1,1.4108948710915525,1.0,2
1,0,2024,04,14,10,1,-0.8953260826673571,9.0,1
0,0,2024,07,27,20,1,-0.7136309265854536,2.0,1
1,0,2024,08,24,06,1,1.2592395925776771,4.0,1
1,0,2024,05,06,12,1,1.5619400620850068,8.0,4
0,0,2024,08,26,21,1,0.8681873576129393,1.0,1
1,0,2024,06,19,16,0,0.06286489784378414,2.0,3
1,0,2024,09,18,15,1,-1.2698643577043216,6.0,1
0,0,2024,01,02,22,1,-1.5247561506113452,8.0,1
0,0,2023,11,18,21,1,1.493402275415833,2.0,3
0,0,2023,12,13,14,0,0.41594611747501403,6.0,1
1,0,2023,10,26,18,1,-1.0134820100599047,4.0,1
1,0,2024,06,25,08,1,-0.598892875869813,8.0,1
0,0,2023,12,29,09,1,-1.6321731510819273,9.0,2
0,0,2024,08,07,03,1,-0.7074121935647931,2.0,1
0,0,2024,07,27,00,1,-1.1925426973036246,6.0,1
1,0,2024,06,22,12,0,0.32987524740645346,4.0,3
0,0,2024,09,05,05,1,1.6406552178448486,8.0,2
0,0,2024,02,28,11,1,-0.5629115777904067,6.0,1
1,0,2023,12,08,17,1,-1.1707251356358226,1.0,1
1,0,2024,08,22,10,1,1.3703309837962532,3.0,1
1,0,2024,10,08,13,0,0.39630545900507996,2.0,1
1,1,2024,01,14,03,1,1.065654662660286,4.0,1
1,0,2024,02,10,06,1,-0.9340943714650528,4.0,1
0,0,2024,10,12,22,1,0.749296552070793,6.0,1
0,0,2024,08,12,21,1,1.0107121217586879,6.0,1
0,0,2024,03,07,06,0,-0.08686305873057754,8.0,2
1,0,2024,08,26,21,0,-0.06752051120812239,3.0,2
0,0,2024,09,27,22,0,0.19749318828771306,4.0,1
1,0,2024,10,13,04,0,-0.2593861035679623,2.0,1
